date,selic,selic_aa
2014-01-01,0.008499527220680037,0.1069
2014-02-01,0.007897746915740855,0.099
2014-03-01,0.007698825173291901,0.0964
2014-04-01,0.00820293960249363,0.103
2014-05-01,0.008696720591061302,0.1095
2014-06-01,0.00820293960249363,0.103
2014-07-01,0.009496303704555897,0.1201
2014-08-01,0.008696720591061302,0.1095
2014-09-01,0.009097383303281914,0.1148
2014-10-01,0.009496303704555897,0.1201
2014-11-01,0.008400771262575768,0.1056
2014-12-01,0.00960138999471205,0.1215
2015-01-01,0.009398615714614866,0.1188
2015-02-01,0.00820293960249363,0.103
2015-03-01,0.010400601017310995,0.1322
2015-04-01,0.009496303704555897,0.1201
2015-05-01,0.009900975291211367,0.1255
2015-06-01,0.010697594533420451,0.1362
2015-07-01,0.011802850082948346,0.1512
2015-08-01,0.01109701909604821,0.1416
2015-09-01,0.01109701909604821,0.1416
2015-10-01,0.01109701909604821,0.1416
2015-11-01,0.010601176913182186,0.1349
2015-12-01,0.011597541772895514,0.1484
2016-01-01,0.010601176913182186,0.1349
2016-02-01,0.009998130389220705,0.1268
2016-03-01,0.011597541772895514,0.1484
2016-04-01,0.010601176913182186,0.1349
2016-05-01,0.01109701909604821,0.1416
2016-06-01,0.011597541772895514,0.1484
2016-07-01,0.01109701909604821,0.1416
2016-08-01,0.012197512451368464,0.1566
2016-09-01,0.01109701909604821,0.1416
2016-10-01,0.01049722926559582,0.1335
2016-11-01,0.010400601017310995,0.1322
2016-12-01,0.01120029087907004,0.143
2017-01-01,0.010897523817270605,0.1389
2017-02-01,0.008696720591061302,0.1095
2017-03-01,0.01049722926559582,0.1335
2017-04-01,0.007897746915740855,0.099
2017-05-01,0.009300823618865417,0.1175
2017-06-01,0.00809623773574919,0.1016
2017-07-01,0.007997046069031288,0.1003
2017-08-01,0.007997046069031288,0.1003
2017-09-01,0.0064029620570458246,0.0796
2017-10-01,0.0064029620570458246,0.0796
2017-11-01,0.005701126498406817,0.0706
2017-12-01,0.005403170869843654,0.0668
2018-01-01,0.005802836162745351,0.0719
2018-02-01,0.004701501791267937,0.0579
2018-03-01,0.005301015303724066,0.0655
2018-04-01,0.005198745421764572,0.0642
2018-05-01,0.005198745421764572,0.0642
2018-06-01,0.005198745421764572,0.0642
2018-07-01,0.005403170869843654,0.0668
2018-08-01,0.005701126498406817,0.0706
2018-09-01,0.004701501791267937,0.0579
2018-10-01,0.005403170869843654,0.0668
2018-11-01,0.004899144709827663,0.0604
2018-12-01,0.004899144709827663,0.0604
2019-01-01,0.005403170869843654,0.0668
2019-02-01,0.004899144709827663,0.0604
2019-03-01,0.004701501791267937,0.0579
2019-04-01,0.005198745421764572,0.0642
2019-05-01,0.005403170869843654,0.0668
2019-06-01,0.004701501791267937,0.0579
2019-07-01,0.005701126498406817,0.0706
2019-08-01,0.005001750284811202,0.0617
2019-09-01,0.004598558211035053,0.0566
2019-10-01,0.00479642376289191,0.0591
2019-11-01,0.0038027802029136915,0.0466
2019-12-01,0.0036988176007033413,0.0453
2020-01-01,0.0038027802029136915,0.0466
2020-02-01,0.0029031915789923257,0.0354
2020-03-01,0.003402274012677786,0.0416
2020-04-01,0.0027981979353204345,0.0341
2020-05-01,0.0024013621145706487,0.0292
2020-06-01,0.00210056130513947,0.0255
2020-07-01,0.0018967538135683526,0.023
2020-08-01,0.0016024674913339698,0.0194
2020-09-01,0.0016024674913339698,0.0194
2020-10-01,0.0016024674913339698,0.0194
2020-11-01,0.0014959632659397037,0.0181
2020-12-01,0.0016024674913339698,0.0194
2021-01-01,0.0014959632659397037,0.0181
2021-02-01,0.001299012149938772,0.0157
2021-03-01,0.0020027906163269105,0.0243
2021-04-01,0.00210056130513947,0.0255
2021-05-01,0.0027011732814758993,0.0329
2021-06-01,0.003096708923229885,0.0378
2021-07-01,0.003602746873047291,0.0441
2021-08-01,0.004296979118938893,0.0528
2021-09-01,0.004400263040968744,0.0541
2021-10-01,0.004899144709827663,0.0604
2021-11-01,0.005896621694972293,0.0731
2021-12-01,0.007698825173291901,0.0964
2022-01-01,0.007299681064450114,0.0912
2022-02-01,0.007599202093946822,0.0951
2022-03-01,0.009300823618865417,0.1175
2022-04-01,0.008301908803324265,0.1043
2022-05-01,0.010296426021131344,0.1308
2022-06-01,0.010199586180421605,0.1295
2022-07-01,0.010296426021131344,0.1308
2022-08-01,0.011700253215942702,0.1498
2022-09-01,0.010697594533420451,0.1362
2022-10-01,0.010199586180421605,0.1295
2022-11-01,0.010199586180421605,0.1295
2022-12-01,0.010199586180421605,0.1295
